,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OPP_FGM_RANK,OPP_FGA_RANK,OPP_FG_PCT_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FG3_PCT_RANK,OPP_FTM_RANK,OPP_FTA_RANK,OPP_FT_PCT_RANK,OPP_OREB_RANK,OPP_DREB_RANK,OPP_REB_RANK,OPP_AST_RANK,OPP_TOV_RANK,OPP_STL_RANK,OPP_BLK_RANK,OPP_BLKA_RANK,OPP_PF_RANK,OPP_PFD_RANK,OPP_PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS
20,1610612760,Oklahoma City Thunder,27,8,19,0.296,48.0,40.1,89.5,0.448,14.3,39.1,0.365,13.9,17.7,0.787,10.4,38.0,48.4,24.8,13.3,8.0,6.4,4.9,17.5,17.5,108.3,9.4,26,28,26,28,25,19,21,12,30,28,25,5,2,20,19,30,30,22,23,23,30,15,2,27,18,28,10,Oklahoma City Thunder
21,1610612753,Orlando Magic,29,5,24,0.172,48.0,41.4,89.1,0.465,13.6,37.1,0.365,15.4,20.7,0.746,10.0,35.9,45.9,25.8,12.8,8.9,5.7,4.7,18.5,19.2,111.8,10.5,8,29,30,29,25,27,18,24,25,20,26,12,15,5,13,25,21,29,27,28,27,19,7,15,27,30,10,Orlando Magic
22,1610612755,Philadelphia 76ers,30,15,15,0.5,48.5,39.6,87.3,0.453,12.2,34.1,0.358,15.3,19.7,0.78,10.6,35.4,46.0,23.5,13.6,6.6,4.7,5.9,18.5,19.1,106.7,1.1,2,13,17,13,7,12,13,15,14,10,21,11,10,17,21,21,22,12,20,1,14,3,8,18,14,21,10,Philadelphia 76ers
23,1610612756,Phoenix Suns,28,23,5,0.821,48.2,39.2,89.4,0.439,11.6,33.8,0.343,14.5,19.8,0.733,10.9,35.0,45.8,22.5,15.8,7.7,3.9,3.9,19.4,19.4,104.5,-6.5,18,1,1,1,15,10,20,4,8,8,12,9,11,1,23,18,19,7,3,16,3,28,16,12,5,3,10,Phoenix Suns
24,1610612757,Portland Trail Blazers,29,11,18,0.379,48.2,41.0,86.8,0.472,13.7,36.0,0.38,15.6,20.7,0.753,8.9,34.6,43.5,25.4,13.8,7.5,4.2,4.7,19.4,19.3,111.2,3.2,8,24,24,24,19,26,10,29,26,17,30,13,15,7,1,13,9,28,19,13,6,19,19,13,26,25,10,Portland Trail Blazers
25,1610612758,Sacramento Kings,29,12,17,0.414,48.5,43.0,92.5,0.465,11.8,34.3,0.345,16.1,21.3,0.759,11.6,35.3,46.8,23.9,13.6,8.2,5.4,4.9,20.0,19.9,114.0,2.9,8,23,22,23,6,30,30,25,13,13,14,15,23,10,29,20,26,16,21,24,22,14,27,9,29,24,10,Sacramento Kings
26,1610612759,San Antonio Spurs,27,10,17,0.37,48.2,41.7,90.1,0.463,13.0,35.7,0.365,13.0,17.2,0.757,10.3,35.7,46.1,24.4,14.7,7.1,5.3,5.0,18.3,16.7,109.5,0.7,26,25,22,25,13,28,25,23,21,16,24,1,1,9,18,23,23,20,12,5,21,12,5,30,22,19,10,San Antonio Spurs
27,1610612761,Toronto Raptors,28,13,15,0.464,48.2,38.2,84.3,0.453,12.4,34.8,0.355,16.7,21.0,0.794,11.0,33.9,44.9,23.7,16.3,6.6,5.5,4.8,17.5,19.7,105.4,-0.5,18,19,17,19,15,3,2,16,15,14,20,25,20,26,25,9,14,15,2,2,23,17,1,10,8,14,10,Toronto Raptors
28,1610612762,Utah Jazz,27,20,7,0.741,48.0,39.7,89.8,0.442,10.7,33.0,0.324,14.1,18.6,0.76,9.7,31.1,40.9,21.0,12.3,7.6,4.0,5.3,19.4,18.8,104.1,-11.5,26,4,3,3,25,15,23,7,3,7,3,7,8,11,11,1,1,1,28,14,4,9,18,21,4,2,10,Utah Jazz
29,1610612764,Washington Wizards,30,15,15,0.5,48.7,40.0,88.3,0.453,10.1,29.8,0.339,18.2,22.7,0.803,10.3,34.5,44.8,23.2,12.1,7.5,4.4,5.1,19.9,19.1,108.3,2.8,2,13,17,13,3,17,17,17,1,1,9,28,27,28,17,12,13,11,29,12,8,11,26,20,17,23,10,Washington Wizards
